id,book_author_full_name
368,Щербатых Юрий Викторович
369,Пиз Аллан
370,Хейли Артур
371,Толкин Джон Рональд Руэл
372,Бардуго Ли
373,Гончаров Иван Александрович
374,Гольман Иосиф Абрамович
375,Бармич Мария Яковлевна
376,Барикко Алессандро
377,Макмахон Дженнифер
378,Мериме Проспер
379,Норбеков Мирзакарим Санакулович
380,Ледерман Виктория Валерьевна
381,Прашкевич Геннадий Мартович
382,Бердышев Сергей Николаевич
383,Пройслер Отфрид
384,Задорнов Михаил Николаевич
385,Шилкова Елена Александровна
386,Постников Валентин Юрьевич
387,Катаев Валентин Петрович
388,Роу Кэролайн
389,Коллинз Сьюзен
390,Маяковский Владимир Владимирович
391,Михайлова Евгения
392,Фитцек Себастьян
393,Фицджеральд Фрэнсис Скотт
394,Флэгг Фэнни
395,Сутеев Владимир Григорьевич
396,Буковски Чарльз
397,Хаггард Генри Райдер
398,Лавринович Ася
399,Курочкин Виктор Александрович
400,Шалаева Галина Петровна
401,Карышев Валерий Михайлович
402,Смейл Холли
403,Бажов Павел Петрович
404,Олди Генри Лайон
405,Быков Василь Владимирович
406,Симонов Константин Михайлович
407,Шелдон Сидни
408,Варламов Алексей Николаевич
409,Сенчин Роман Валерьевич
410,Соколова Зоя Петровна
411,Манн Томас
412,Ключевский Василий Осипович
413,Цымбалистенко Наталия Васильевна
414,Душенко Константин Васильевич
415,Пантелеев Леонид Иванович
416,Надеждин Николай Яковлевич
417,Зюскинд Патрик
418,Кожухаров Роман Романович
419,Виилма Лууле
420,Палев Михаил Юрьевич
421,Сименон Жорж
422,Кард Орсон Скотт
423,Свифт Джонатан
424,Иличевский Александр Викторович
425,Санд Жорж
426,Высоцкий Владимир Семенович
427,Арментроут Дженнифер Ли
428,Доктор Сьюз
429,Генри
430,Балдин Константин Васильевич
431,Кортасар Хулио
432,Мур Улисс
433,Стариков Николай Викторович
434,Кузнецов
435,Соротокина Нина Матвеевна
436,Стайн Роберт
437,Джеймс Филис Дороти
438,Блок Александр Александрович
439,Ильин Иван Александрович
440,Жильцова Наталья Сергеевна
441,Крауч Блейк
442,Волконский Михаил Николаевич
443,Прилепин Захар Николаевич
444,Глушков Роман Анатольевич
445,Желязны Роджер Джозеф
446,Фабер Адель
447,Низовский Андрей Юрьевич
448,Пруст Марсель
449,Живетин Владимир Борисович
450,Головнев Андрей Владимирович
451,Пушкарева Елена Тимофеевна
452,Одоевский Владимир Федорович
453,Моруа Андре
454,Ефремова Людмила Георгиевна
455,Елжова Наталья Владимировна
456,Дрюон Морис
457,Дашевская Нина Сергеевна
458,Паолини Кристофер
459,Пастернак Борис Леонидович
460,Гюго Виктор Мари
461,Бакланов Григорий Яковлевич
462,Колфер Йон
463,Шад Марта
464,Хокинг Стивен Уильям
465,Хобб Робин
466,Петрановская Людмила Владимировна
467,Евтушенко Евгений Александрович
468,Губерман Игорь Миронович
469,Петч Оливер
470,Кивинов Андрей Владимирович
471,Некрасов Николай Алексеевич
472,Турутина Полина Гилевна
473,Хармон Эми
474,Кетро Марта
475,Платова Виктория Евгеньевна
476,Барятинский Михаил Борисович
477,Баум Лаймен Фрэнк
478,Грегори Филиппа
479,Гранин Даниил Александрович
480,Кафка Франц
481,Гофман Эрнст Теодор Амадей
482,Короленко Владимир Галактионович
483,Берберова Нина Николаевна
484,Кассиль Лев Абрамович
485,Правдина Наталия Борисовна
486,Глуховский Дмитрий Алексеевич
487,Ливадный Андрей
488,Твардовский Александр Трифонович
489,Боуэн Джеймс
490,Мережковский Дмитрий Сергеевич
491,Васильев Владимир
492,Амаду Жоржи
493,Альтшулер Игорь Григорьевич
494,Страуд Джонатан Энтони
495,Седугин Василий Иванович
496,Алданов Марк Александрович
497,Вануйто Галина Ивановна
498,Володихин Дмитрий Михайлович
499,Волынская Илона Олеговна
500,Брындза Роберт
501,Зайцева Анна
502,Рубальская Лариса Алексеевна
503,Сафарли Эльчин
504,Воннегут Курт
505,Сухановский Алексей Феликсович
506,Стаут Рекс
507,Коковин Евгений Степанович
508,Шлинк Бернхард
509,Маас Сара Дж.
510,Буйда Юрий Васильевич
511,Айтматов Чингиз Торекулович
512,Олейников Алексей Александрович
513,Замятин Сергей Николаевич
514,Саган Франсуаза
515,Йейтс Ричард
516,Акройд Питер
517,Гайбарян Ольга Ервандовна
518,Рябцев Юрий Степанович
519,Носов Константин Сергеевич
520,Гавальда Анна
521,Глебова Ирина Николаевна
522,Соболь Екатерина Николаевна
523,Богомолов Владимир Осипович
524,Симмонс Дэн
525,Элтон Бен
526,Шендерович Виктор Анатольевич
527,Риордан Рик
528,Скотт Вальтер
529,Бойн Джон
530,Витале Джо
531,Трускиновская Далия Мееровна
532,Гилберт Элизабет
533,Камша Вера Викторовна
534,Ликсо Вячеслав Владимирович
535,Серебрякова Мила
536,Нестерова Наталья Владимировна
537,Звягинцев Александр Григорьевич
538,Самарский Михаил Александрович
539,Быков Василий Владимирович
540,Дале Штефани
541,Синяева Инга Михайловна
542,Кудинов Олег Алексеевич
543,Непомнящий Николай Николаевич
544,Мошковский Анатолий Иванович
545,Ириков Сергей Иванович
546,Нестеров Михаил Петрович
547,Кубеев Михаил Николаевич
548,Стивенсон Стив
549,Ситникова Людмила Васильевна
550,Вэлла Юрий Кылевич
551,Пирсон Люк
552,Габдель Махмут Касимович
553,Петухов Юрий Дмитриевич
